sentiment,Month of Response Date
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-03-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Positive,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Negative,2024-02-01
Positive,2024-02-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Positive,2024-03-01
Negative,2024-03-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Positive,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
Negative,2024-01-01
